Line_Num,ESP32_Time_s,ID0_IMU,LinAcc_x,LinAcc_y,LinAcc_z,Pitch,Roll,Yaw,Gyro_x,Gyro_y,Gyro_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1_ASPD,RawPress_Pa,temp_C,RawAirspeed,CorrAirspeed,ID2_GPS,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites,ID3_AP,Flight_Phase,AP_Mode,AP_HDG,AP_ROLL_TGT,AP_PITCH_TGT,ID4_SERVO,servo_L_angle,servo_R_angle,servo_Angle_TGT,servo_Action_TGT
1,0.033161,0,1.294,-0.359,-1.102,6.997,64.792,118.664,3.469,-0.112,0.671,11.750,-30.812,-23.875,3.922,28.630,13.508,0.708,0.486,0.228,0.458,1,10.202,-15.702,12.721,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
2,0.087992,0,0.782,0.141,-0.974,7.014,64.848,118.675,-5.931,-0.224,0.336,12.000,-29.562,-23.562,3.922,28.630,13.482,0.708,0.487,0.229,0.458,1,10.183,-15.633,12.709,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
3,0.138556,0,0.384,0.525,1.038,7.053,64.771,118.672,3.469,-0.336,0.560,11.875,-30.312,-20.938,3.947,28.630,13.508,0.708,0.486,0.228,0.458,1,9.705,-15.678,12.407,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
4,0.188512,0,0.513,0.769,0.666,7.008,64.481,118.639,-0.112,0.783,0.560,11.500,-30.875,-22.438,3.922,28.554,13.662,0.709,0.484,0.227,0.459,1,9.977,-15.606,12.580,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
5,0.243286,0,-0.474,-1.012,-0.500,7.009,64.455,118.628,2.126,0.112,1.007,11.188,-30.250,-21.312,3.947,28.554,13.585,0.709,0.484,0.227,0.459,1,10.350,-15.599,12.813,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
6,0.316022,0,-0.372,-0.884,-1.602,7.077,64.646,118.588,-2.910,0.336,-0.112,11.750,-29.312,-21.375,3.947,28.554,13.585,0.708,0.485,0.228,0.459,1,9.961,-15.637,12.570,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
7,0.359021,0,0.231,-0.077,1.564,7.101,64.746,118.632,6.714,-1.455,0.560,11.188,-30.625,-20.938,3.973,28.605,13.482,0.708,0.486,0.228,0.459,1,9.779,-15.651,12.455,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
8,0.412873,0,0.461,-0.077,1.294,7.136,64.766,118.628,-1.567,1.455,-0.224,11.562,-30.312,-20.188,3.999,28.605,13.508,0.708,0.487,0.228,0.459,1,9.562,-15.678,12.316,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
9,0.459917,0,-0.141,-0.551,1.012,7.131,64.732,118.617,-9.064,3.805,1.119,11.312,-30.062,-19.125,3.947,28.554,13.610,0.708,0.486,0.228,0.459,1,10.114,-15.633,12.666,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
10,0.505937,0,-0.269,-0.128,-1.371,7.134,64.575,118.392,-10.855,3.469,1.567,11.938,-28.500,-24.812,3.973,28.554,13.610,0.708,0.485,0.228,0.461,1,10.470,-15.607,12.887,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,23,40,20,ROLL_LEFT
