Line_Num,ESP32_Time_s,ID0_IMU,LinAcc_x,LinAcc_y,LinAcc_z,Pitch,Roll,Yaw,Gyro_x,Gyro_y,Gyro_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1_ASPD,RawPress_Pa,temp_C,RawAirspeed,CorrAirspeed,ID2_GPS,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites,ID3_AP,Flight_Phase,AP_Mode,AP_HDG_TGT,AP_ROLL_TGT,AP_PITCH_TGT,ID4_SERVO,servo_L_angle,servo_R_angle,servo_Angle_TGT,servo_Action_TGT
1,0.038723,0,4.075,31.834,-57.428,-26.097,129.120,176.790,129.139,64.793,44.650,-31.875,5.125,22.375,-17.019,-30.835,6.895,0.877,-0.424,0.192,0.122,1,128.369,28.686,49.238,49.238,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
2,0.111626,0,5.639,30.194,-57.709,-29.091,133.641,177.668,85.496,67.032,41.405,-31.875,5.125,22.375,-18.455,-29.989,5.562,0.888,-0.386,0.223,0.117,1,135.658,28.718,50.616,50.616,2,32.120609,-110.761856,295.760010,62.886,3169.619385,21,36,46,56,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
3,0.171351,0,11.304,43.099,-139.282,-43.505,90.804,190.713,-727.164,321.729,254.586,-31.875,5.125,22.375,-19.916,-19.993,-21.249,0.683,-0.625,0.324,0.197,1,116.644,28.722,46.935,46.935,2,32.120613,-110.761871,295.519989,61.905,3169.291504,21,36,46,64,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
4,0.228099,0,6.728,40.959,-150.765,-44.323,57.513,215.098,-17.122,294.312,-26.522,-31.875,5.125,22.375,-10.688,-12.867,-31.399,0.525,-0.719,0.418,0.181,1,101.306,28.687,43.741,43.741,2,32.120617,-110.761871,295.390015,61.433,3168.963379,21,36,46,68,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
5,0.365944,0,-10.355,35.141,-116.354,-35.302,60.953,226.999,347.803,64.234,-22.829,-31.875,5.125,22.375,-5.460,-18.429,-30.604,0.547,-0.692,0.469,0.047,1,91.804,28.745,41.639,41.639,2,32.120617,-110.761902,293.040009,57.991,3167.651123,21,36,46,84,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
6,0.445940,0,-7.830,40.536,-79.612,-36.603,78.961,226.429,10.183,118.844,107.877,-31.875,5.125,22.375,-5.434,-29.066,-25.503,0.650,-0.595,0.472,-0.015,1,90.530,28.728,41.349,41.349,2,32.120617,-110.761909,291.809998,56.888,3167.322998,21,36,46,92,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
7,0.527914,0,-6.959,40.741,-79.727,-48.889,75.808,250.904,114.368,110.227,56.848,-31.875,5.125,22.375,-2.614,-31.963,-24.581,0.645,-0.438,0.624,-0.058,1,82.323,28.727,39.430,39.430,2,32.120621,-110.761925,290.350006,55.986,3166.994873,21,36,47,0,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
8,0.607729,0,-12.329,46.214,-64.694,-51.502,82.079,260.504,184.309,52.820,47.112,-31.875,5.125,22.375,-1.717,-36.269,-20.146,0.663,-0.334,0.657,-0.132,1,54.378,28.712,32.046,32.046,2,32.120621,-110.761948,289.029999,54.786,3166.666748,21,36,47,8,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
9,0.729186,0,-11.073,47.072,-62.169,-54.452,86.888,265.024,16.562,74.529,49.574,-31.875,5.125,22.375,-1.487,-39.601,-18.122,0.675,-0.263,0.668,-0.168,1,55.817,28.738,32.468,32.468,2,32.120621,-110.761955,287.250000,52.295,3166.338623,21,36,47,20,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
10,0.812811,0,-11.034,50.020,-70.858,-57.890,66.468,291.947,21.374,118.396,49.127,-31.875,5.125,22.375,0.205,-40.626,-18.993,0.604,-0.190,0.755,-0.171,1,54.326,28.747,32.031,32.031,2,32.120621,-110.761971,286.339996,51.475,3166.010498,21,36,47,28,5,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,16,20,14,ROLL_LEFT
