Line_Num,ESP32_Time_s,ID0_IMU,LinAcc_x,LinAcc_y,LinAcc_z,Pitch,Roll,Yaw,Gyro_x,Gyro_y,Gyro_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1_ASPD,RawPress_Pa,temp_C,RawAirspeed,CorrAirspeed,ID2_GPS,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites,ID3_AP,Flight_Phase,AP_Mode,AP_HDG,AP_ROLL_TGT,AP_PITCH_TGT,ID4_SERVO,servo_L_angle,servo_R_angle,servo_Angle_TGT,servo_Action_TGT
1,0.032957,0,3.435,2.127,2.576,16.198,-1.632,110.600,39.055,-25.291,8.057,-31.875,5.125,22.375,9.022,-0.743,30.989,0.815,0.069,-0.124,0.562,1,-37.534,-17.520,-24.400,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,-30.000,0.000,4,23,40,20,ROLL_LEFT
2,0.088156,0,-0.461,-0.987,2.397,16.877,-1.392,110.258,-28.872,5.595,0.671,-31.875,5.125,22.375,9.279,-0.769,30.912,0.812,0.074,-0.127,0.564,1,-38.951,-17.468,-24.857,0.000,2,41.519650,-86.239960,120.610001,2.329,244.699997,18,53,16,36,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,-30.000,0.000,4,23,40,20,ROLL_LEFT
3,0.150021,0,1.948,1.423,5.652,14.616,-1.211,110.804,11.638,70.053,-14.324,-31.875,5.125,22.375,7.587,-0.564,31.347,0.817,0.064,-0.111,0.562,1,-36.796,-17.484,-24.160,0.000,2,41.519650,-86.239960,119.559998,2.331,244.699997,18,53,16,40,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,30.000,0.000,4,-17,0,20,ROLL_RIGHT
4,0.204134,0,-4.229,-0.359,-15.533,11.526,-1.243,111.159,-17.345,1.007,7.498,-31.875,5.125,22.375,6.382,-0.692,31.655,0.821,0.048,-0.089,0.561,1,-36.580,-17.491,-24.089,0.000,2,41.519650,-86.239960,118.120003,2.393,244.800003,18,53,16,48,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,30.000,0.000,4,-17,0,20,ROLL_RIGHT
5,0.311398,0,5.139,6.100,-10.112,11.195,-0.757,110.859,46.777,66.360,43.419,-31.875,5.125,22.375,5.511,0.103,31.783,0.820,0.050,-0.084,0.564,1,-38.084,-17.467,-24.578,0.000,2,41.519650,-86.239960,120.730003,2.809,244.699997,18,53,16,60,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,30.000,0.000,4,-17,0,20,ROLL_RIGHT
6,0.386636,0,2.614,3.473,-2.845,6.264,1.258,110.818,9.176,13.764,-14.548,-31.875,5.125,22.375,3.563,1.179,32.014,0.822,0.040,-0.039,0.567,1,-37.475,-17.545,-24.381,0.000,2,41.519650,-86.239960,125.959999,2.792,244.699997,18,53,16,68,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,30.000,0.000,4,-17,0,20,ROLL_RIGHT
7,0.460012,0,-0.846,0.359,-1.845,4.543,2.860,111.553,5.036,21.150,-6.491,-31.875,5.125,22.375,1.717,2.153,32.116,0.825,0.043,-0.019,0.563,1,-38.364,-17.451,-24.669,0.000,2,41.519650,-86.239960,128.240005,2.709,244.699997,18,53,16,72,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,30.000,0.000,4,-17,0,20,ROLL_RIGHT
8,0.513034,0,-0.384,1.499,-1.538,0.455,5.071,111.894,27.193,30.662,-11.302,-31.875,5.125,22.375,0.026,3.025,32.091,0.828,0.039,0.021,0.560,1,-36.004,-17.493,-23.898,0.000,2,41.519650,-86.239960,129.389999,2.354,244.699997,18,53,16,80,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,30.000,0.000,4,-17,0,20,ROLL_RIGHT
9,0.579013,0,-0.500,2.115,-2.191,-0.738,6.330,112.185,17.681,7.274,-9.624,-31.875,5.125,22.375,-0.513,3.717,32.014,0.829,0.042,0.036,0.557,1,-37.400,-17.537,-24.357,0.000,2,41.519650,-86.239960,129.130005,2.186,244.800003,18,53,16,84,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,30.000,0.000,4,-17,0,20,ROLL_RIGHT
10,0.678413,0,0.525,2.743,-0.179,-1.389,7.951,112.737,17.793,-14.324,-8.841,-31.875,5.125,22.375,-0.641,4.921,31.860,0.831,0.051,0.048,0.552,1,-36.274,-17.457,-23.987,0.000,2,41.519650,-86.239960,127.660004,1.781,244.899994,18,53,16,96,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,290.600,30.000,0.000,4,-17,0,20,ROLL_RIGHT
