Line_Num,ESP32_Time,ID0,LinAcc_x,LinAcc_y,LinAcc_z,Pitch_deg,Roll_deg,Yaw_deg,Gyro_deg_x,Gyro_deg_y,Gyro_deg_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1,RawPress_Pa,RawAirspeed,CorrAirspeed,temp_C,ID2,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites
1,0.080354,0,0.039,0.012,0.012,8.099,-0.974,95.025,-1.119,0.000,0.000,-28.312,0.000,-29.438,1.383,-0.141,9.867,0.673,-0.058,-0.041,-0.736,1,-35.246,-7.788,0.000,27.675,2,41.519432,-86.239815,0.000000,0.049,252.800003,11,46,46,0,12
2,0.100472,0,0.074,0.059,0.051,8.095,-0.989,95.024,-1.343,0.112,0.112,-29.250,3.125,-27.688,1.383,-0.148,9.867,0.673,-0.058,-0.041,-0.736,1,-35.246,-7.788,0.000,27.675,2,41.519432,-86.239815,0.000000,0.221,252.800003,11,46,46,8,12
3,0.177378,0,0.031,-0.055,0.012,8.091,-1.024,95.021,-1.119,0.112,0.112,-27.375,-0.500,-25.375,1.391,-0.148,9.867,0.673,-0.058,-0.041,-0.736,1,-38.402,-8.129,0.000,27.675,2,41.519432,-86.239815,0.000000,0.118,252.800003,11,46,46,20,12
4,0.223378,0,-0.039,0.027,0.004,8.083,-1.055,95.019,0.000,0.000,0.000,-28.188,3.938,-27.938,1.391,-0.156,9.875,0.673,-0.058,-0.041,-0.736,1,-38.402,-8.129,0.000,27.675,2,41.519432,-86.239815,0.000000,0.159,252.800003,11,46,46,24,12
5,0.297378,0,0.039,-0.047,-0.035,8.072,-1.045,95.020,0.224,0.112,-0.112,-29.188,2.000,-26.688,1.383,-0.156,9.875,0.673,-0.058,-0.041,-0.736,1,-35.246,-7.788,0.000,27.675,2,41.519432,-86.239815,0.000000,0.132,252.800003,11,46,46,32,12
6,0.381378,0,0.074,-0.012,0.004,8.075,-1.010,95.027,0.112,-0.112,0.000,-28.062,2.312,-27.188,1.383,-0.156,9.875,0.673,-0.058,-0.041,-0.736,1,-32.090,-7.431,0.000,27.675,2,41.519432,-86.239815,0.000000,0.098,252.800003,11,46,46,40,12
7,0.422378,0,-0.008,-0.012,-0.043,8.060,-0.986,95.024,-0.336,0.000,0.112,-28.000,-1.062,-26.938,1.391,-0.156,9.883,0.673,-0.058,-0.041,-0.736,1,-45.767,-8.875,0.000,27.675,2,41.519432,-86.239815,0.000000,0.041,252.800003,11,46,46,44,12
8,0.506378,0,-0.008,-0.039,-0.043,8.055,-1.001,95.018,-0.783,0.000,-0.112,-26.562,3.812,-28.062,1.391,-0.164,9.883,0.673,-0.058,-0.041,-0.736,1,-38.402,-8.129,0.000,27.675,2,41.519432,-86.239815,0.000000,0.046,252.800003,11,46,46,52,12
9,0.577378,0,0.000,-0.039,-0.004,8.057,-1.040,95.030,-0.336,-0.112,-0.112,-28.438,-0.750,-26.562,1.383,-0.164,9.883,0.673,-0.058,-0.041,-0.736,1,-45.767,-8.875,0.000,27.675,2,41.519432,-86.239815,0.000000,0.089,252.800003,11,46,46,60,12
10,0.665378,0,0.039,-0.004,0.035,8.057,-1.050,95.034,1.231,0.000,-0.112,-28.875,2.812,-27.750,1.383,-0.164,9.883,0.673,-0.058,-0.041,-0.736,1,-42.611,-8.563,0.000,27.675,2,41.519432,-86.239815,0.000000,0.025,252.800003,11,46,46,68,12
