Line_Num,ESP32_Time_s,ID0_IMU,LinAcc_x,LinAcc_y,LinAcc_z,Pitch,Roll,Yaw,Gyro_x,Gyro_y,Gyro_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1_ASPD,RawPress_Pa,temp_C,RawAirspeed,CorrAirspeed,ID2_GPS,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites,ID3_AP,Flight_Phase,AP_Mode,AP_HDG,AP_ROLL_TGT,AP_PITCH_TGT,ID4_SERVO,servo_L_angle,servo_R_angle,servo_Angle_TGT,servo_Action_TGT
1,0.198599,0,1.474,-0.615,-0.423,-0.701,33.704,254.571,6.043,1.231,-1.679,-31.875,5.125,22.375,-0.205,-17.558,-26.119,0.234,-0.760,0.581,-0.171,1,-33.736,-4.348,-23.827,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,20,15,20,ROLL_LEFT
2,0.322486,0,-1.692,4.639,-3.832,-0.709,33.490,254.141,-14.883,2.238,-2.798,-31.875,5.125,22.375,-0.205,-17.532,-26.119,0.233,-0.763,0.579,-0.169,1,-33.352,-4.326,-23.691,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,20,15,20,ROLL_LEFT
3,0.387912,0,-0.513,-0.551,-3.306,-0.437,35.365,254.475,-23.724,7.162,-4.252,-31.875,5.125,22.375,0.154,-17.173,-26.349,0.244,-0.758,0.577,-0.181,1,-34.541,-4.335,-24.109,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,20,15,20,ROLL_LEFT
4,0.438034,0,-1.051,0.372,0.115,0.722,31.551,253.935,-32.005,26.186,-5.931,-31.875,5.125,22.375,0.564,-16.532,-26.759,0.214,-0.770,0.577,-0.168,1,-35.218,-4.350,-24.344,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,20,15,20,ROLL_LEFT
5,0.483491,0,2.294,1.448,0.397,0.806,31.848,254.208,29.096,-12.757,10.407,-31.875,5.125,22.375,0.615,-16.661,-26.657,0.215,-0.768,0.579,-0.171,1,-33.812,-4.354,-23.854,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,20,15,20,ROLL_LEFT
6,0.532286,0,-0.141,-0.807,1.000,-0.260,31.575,253.807,-56.065,-17.905,-9.848,-31.875,5.125,22.375,0.077,-16.763,-26.606,0.219,-0.769,0.578,-0.162,1,-35.053,-4.319,-24.288,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,20,15,20,ROLL_LEFT
7,0.597133,0,0.231,-0.577,0.384,-0.053,30.131,253.162,3.357,11.302,-8.057,-31.875,5.125,22.375,0.077,-15.866,-27.169,0.209,-0.775,0.576,-0.155,1,-34.240,-4.324,-24.004,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,20,15,20,ROLL_LEFT
8,0.649281,0,0.513,-0.218,-0.525,-0.056,30.322,253.413,1.455,-16.786,17.010,-31.875,5.125,22.375,0.000,-15.994,-27.118,0.210,-0.774,0.577,-0.156,1,-35.277,-4.326,-24.365,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_PROT_ROLL_MAX,0.000,-30.000,0.000,4,20,15,20,ROLL_LEFT
9,0.707084,0,-0.769,-1.012,-0.295,-0.619,29.798,253.568,-18.912,6.602,-9.512,-31.875,5.125,22.375,-0.026,-15.430,-27.426,0.209,-0.773,0.580,-0.150,1,-35.280,-4.330,-24.366,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
10,0.767574,0,2.307,1.166,1.397,-0.276,28.412,253.390,-15.779,-1.679,10.183,-31.875,5.125,22.375,0.000,-15.046,-27.631,0.198,-0.777,0.580,-0.145,1,-34.891,-4.294,-24.231,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,-30.000,0.000,4,20,15,20,ROLL_LEFT
11,0.811240,0,-1.166,0.820,0.372,-0.881,27.998,253.383,-15.555,-1.902,-10.967,-31.875,5.125,22.375,-0.333,-14.764,-27.759,0.198,-0.777,0.581,-0.139,1,-35.117,-4.307,-24.310,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,-30.000,0.000,4,20,15,20,ROLL_LEFT
12,0.879499,0,-0.320,1.077,1.179,-0.080,26.713,253.100,-16.226,16.786,-5.483,-31.875,5.125,22.375,0.000,-14.302,-27.990,0.186,-0.781,0.580,-0.137,1,-35.799,-4.330,-24.544,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,-30.000,0.000,4,20,15,20,ROLL_LEFT
13,0.921492,0,-0.269,-0.064,1.025,0.445,27.124,253.227,17.905,3.581,2.798,-31.875,5.125,22.375,0.410,-14.507,-27.913,0.186,-0.781,0.579,-0.143,1,-35.103,-4.279,-24.305,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,-30.000,0.000,4,20,15,20,ROLL_LEFT
14,1.001355,0,-0.769,0.179,0.897,0.332,27.006,253.389,-15.667,-9.736,8.952,-31.875,5.125,22.375,0.384,-14.431,-27.938,0.186,-0.780,0.581,-0.142,1,-35.199,-4.315,-24.338,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,-30.000,0.000,4,20,15,20,ROLL_LEFT
15,1.069498,0,0.461,-0.167,-1.038,-0.843,27.154,254.215,26.634,-14.324,26.298,-31.875,5.125,22.375,-0.590,-14.661,-27.810,0.192,-0.774,0.588,-0.136,1,-33.876,-4.337,-23.876,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
16,1.125980,0,-0.115,-1.115,-1.320,-1.803,28.073,254.815,2.686,13.205,0.112,-31.875,5.125,22.375,-0.871,-14.841,-27.708,0.202,-0.768,0.592,-0.135,1,-34.159,-4.310,-23.976,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
17,1.177210,0,1.666,0.820,0.423,-1.701,28.087,254.866,-3.021,4.029,6.938,-31.875,5.125,22.375,-0.590,-14.815,-27.733,0.201,-0.768,0.592,-0.136,1,-34.821,-4.303,-24.207,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
18,1.224467,0,-1.230,-1.974,0.795,-1.440,27.269,255.605,-23.276,-0.671,5.707,-31.875,5.125,22.375,-0.666,-14.456,-27.887,0.194,-0.766,0.598,-0.135,1,-34.133,-4.263,-23.967,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
19,1.268495,0,2.371,0.833,-0.333,-1.649,26.634,255.986,-0.783,-2.798,11.079,-31.875,5.125,22.375,-0.795,-14.149,-28.067,0.190,-0.765,0.602,-0.131,1,-34.682,-4.319,-24.158,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
20,1.328492,0,1.820,0.320,-0.077,-2.535,27.065,256.070,2.574,-18.017,6.043,-31.875,5.125,22.375,-1.384,-14.379,-27.913,0.198,-0.762,0.603,-0.127,1,-34.852,-4.357,-24.218,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
21,1.378488,0,-2.115,-0.948,0.269,-2.307,26.368,256.216,-20.031,20.255,-1.902,-31.875,5.125,22.375,-1.256,-14.072,-28.067,0.192,-0.763,0.604,-0.125,1,-35.473,-4.280,-24.433,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
22,1.455564,0,1.640,0.000,-1.884,-1.826,26.810,256.325,10.631,1.790,-2.798,-31.875,5.125,22.375,-1.153,-13.995,-28.118,0.192,-0.762,0.604,-0.131,1,-35.097,-4.265,-24.303,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
23,1.520480,0,-0.654,-0.782,0.218,-1.453,26.901,256.222,4.364,-3.245,1.231,-31.875,5.125,22.375,-0.692,-14.302,-27.964,0.191,-0.763,0.603,-0.134,1,-34.682,-4.319,-24.158,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
24,1.585339,0,-0.346,-1.358,-0.205,-1.758,26.820,256.239,7.722,1.231,0.895,-31.875,5.125,22.375,-0.846,-14.277,-27.964,0.192,-0.763,0.603,-0.131,1,-34.081,-4.307,-23.948,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
25,1.638705,0,0.282,0.525,-0.128,-1.355,26.837,256.145,-7.945,4.029,-5.036,-31.875,5.125,22.375,-0.641,-14.226,-28.015,0.190,-0.764,0.602,-0.134,1,-34.092,-4.327,-23.952,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
26,1.694359,0,-0.128,-0.730,-0.500,-1.274,26.851,256.134,-1.567,-1.007,4.141,-31.875,5.125,22.375,-0.641,-14.149,-28.041,0.189,-0.764,0.602,-0.135,1,-35.555,-4.292,-24.461,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,73.568,30.000,0.000,4,0,-5,0,MAINTAIN_ANGLE
