Line_Num,ESP32_Time_s,ID0_IMU,LinAcc_x,LinAcc_y,LinAcc_z,Pitch,Roll,Yaw,Gyro_x,Gyro_y,Gyro_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1_ASPD,RawPress_Pa,temp_C,RawAirspeed,CorrAirspeed,ID2_GPS,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites,ID3_AP,Flight_Phase,AP_Mode,AP_HDG_TGT,AP_ROLL_TGT,AP_PITCH_TGT,ID4_SERVO,servo_L_angle,servo_R_angle,servo_Angle_TGT,servo_Action_TGT
1,0.037220,0,-18.314,15.405,62.246,-17.877,15.631,296.453,-148.723,227.169,42.748,-31.875,5.125,22.375,-12.585,-10.381,-29.681,0.202,-0.497,0.843,-0.033,1,-357.855,-3.461,-77.443,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,116.453,30.000,0.000,4,-14,-19,14,ROLL_RIGHT
2,0.110066,0,-27.336,5.562,-51.122,-10.449,14.832,299.064,416.178,122.089,-39.279,-31.875,5.125,22.375,-9.791,-11.022,-29.938,0.143,-0.491,0.857,-0.065,1,-294.461,-3.417,-70.249,0.000,2,41.518810,-86.239685,89.519997,63.227,297.000000,10,40,22,12,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,116.453,30.000,0.000,4,-15,-20,15,ROLL_RIGHT
3,0.184293,0,-27.656,-29.476,-182.394,-5.100,96.738,286.620,1997.631,-315.574,191.918,-31.875,5.125,22.375,-2.320,18.903,25.901,0.470,-0.370,0.552,-0.581,1,-293.720,-3.437,-70.161,0.000,2,41.518810,-86.239670,89.169998,63.242,297.000000,10,40,22,20,12,3,U_TURN_HDG,AP_PROT_ROLL_MAX,116.453,-30.000,0.000,4,20,15,20,ROLL_LEFT
4,0.294347,0,-10.945,-85.110,-37.730,-15.689,-69.138,281.402,1577.648,-427.704,-130.146,-31.875,5.125,22.375,-8.689,28.925,-11.022,0.269,0.577,-0.582,-0.506,1,-276.662,-3.362,-68.093,0.000,2,41.518818,-86.239639,88.169998,62.608,297.000000,10,40,22,32,12,3,U_TURN_HDG,AP_PROT_ROLL_MIN,116.453,30.000,0.000,4,-20,-25,20,ROLL_RIGHT
5,0.377971,0,-24.030,-0.666,-51.404,-2.162,173.553,290.196,-1998.414,-123.992,41.853,-31.875,5.125,22.375,1.115,-4.729,31.783,0.572,-0.017,0.057,-0.818,1,-226.529,-3.404,-61.616,0.000,2,41.518818,-86.239624,87.510002,61.855,297.200012,10,40,22,40,12,3,U_TURN_HDG,AP_PROT_ROLL_MAX,116.453,-30.000,0.000,4,20,15,20,ROLL_LEFT
6,0.502191,0,-38.127,15.097,26.349,30.418,-155.612,285.878,683.185,-434.642,70.501,-31.875,5.125,22.375,17.109,12.547,24.158,0.613,-0.082,-0.317,-0.719,1,-225.710,-3.371,-61.504,0.000,2,41.518818,-86.239601,86.110001,58.726,297.500000,10,40,22,52,12,3,U_TURN_HDG,AP_PROT_ROLL_MIN,116.453,30.000,0.000,4,-20,-25,20,ROLL_RIGHT
7,0.578703,0,-18.621,-26.952,47.008,30.896,112.349,281.366,-1654.528,-328.779,20.591,-31.875,5.125,22.375,6.087,-1.833,-31.514,0.393,-0.511,0.275,-0.713,1,-215.321,-3.353,-60.072,0.000,2,41.518818,-86.239594,85.459999,55.689,297.600006,10,40,22,60,12,3,U_TURN_HDG,AP_PROT_ROLL_MAX,116.453,-30.000,0.000,4,20,15,20,ROLL_LEFT
8,0.659293,0,-12.303,-27.323,51.225,-6.138,-61.149,273.588,419.647,55.617,-330.682,-31.875,5.125,22.375,-6.164,25.362,-18.788,0.314,0.608,-0.608,-0.402,1,-216.815,-3.403,-60.280,0.000,2,41.518818,-86.239578,85.120003,53.588,297.700012,10,40,22,68,12,3,U_TURN_HDG,AP_PROT_ROLL_MIN,116.453,30.000,0.000,4,-20,-25,20,ROLL_RIGHT
9,0.737317,0,-10.842,-33.103,-48.546,-13.218,-59.154,252.301,-793.077,209.935,-14.995,-31.875,5.125,22.375,-6.728,31.053,-4.960,0.337,0.731,-0.464,-0.370,1,-145.916,-3.433,-49.452,0.000,2,41.518822,-86.239571,85.139999,50.668,297.700012,10,40,22,76,12,3,U_TURN_HDG,AP_PROT_ROLL_MIN,116.453,30.000,0.000,4,-20,-25,20,ROLL_RIGHT
10,0.823239,0,-14.546,11.457,57.287,-9.324,-21.354,244.982,1587.272,127.237,92.434,-31.875,5.125,22.375,-0.769,-16.866,-27.362,0.113,0.834,-0.513,-0.167,1,-196.271,-3.397,-57.353,0.000,2,41.518822,-86.239555,84.940002,48.212,297.600006,10,40,22,84,12,3,U_TURN_HDG,AP_HDG_SEL_IMU,116.453,-30.000,0.000,4,9,4,9,ROLL_LEFT
